ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
47,West Virginia,04-12-2020,593,6,83.0,587.0,44.82244115,16257.0,81.0,1.0118043840000002,1228.8000439999996,13.65935919,,
97,West Virginia,04-13-2020,611,8,85.0,603.0,46.18298742704071,16655.0,164.0,1.3093289689034369,1258.8832333835726,26.84124386252045,0.3333333333333333,0.03035413153456998
147,West Virginia,04-14-2020,640,9,147.0,631.0,48.37497865,17038.0,164.0,1.40625,1287.832635,25.625,0.125,0.04746317512274959
197,West Virginia,04-15-2020,702,10,211.0,692.0,53.06130470340847,17656.0,164.0,1.4245014245014245,1334.5447234236185,23.361823361823358,0.1111111111111111,0.096875
247,West Virginia,04-16-2020,728,12,223.0,716.0,55.02653821094211,18306.0,85.0,1.6483516483516485,1383.6755611119593,11.675824175824175,0.2,0.037037037037037035
297,West Virginia,04-17-2020,775,16,223.0,759.0,58.579075705329856,18681.0,85.0,2.064516129032258,1412.0202751629254,10.967741935483868,0.3333333333333333,0.06456043956043957
347,West Virginia,04-18-2020,785,16,255.0,769.0,59.33493474668896,19440.0,83.0,2.0382165605095537,1469.3899764020807,10.573248407643312,0.0,0.012903225806451613
397,West Virginia,04-19-2020,890,18,265.0,872.0,67.27145468095945,20031.0,72.0,2.02247191011236,1514.0612457464033,8.089887640449438,0.125,0.1337579617834395
447,West Virginia,04-20-2020,902,24,290.0,878.0,68.17848553059036,22155.0,77.0,2.660753880266076,1674.605706131075,8.536585365853659,0.3333333333333333,0.01348314606741573
497,West Virginia,04-21-2020,908,26,330.0,882.0,68.63200095540583,22763.0,85.0,2.8634361233480177,1720.561935845708,9.361233480176212,0.08333333333333333,0.0066518847006651885
547,West Virginia,04-22-2020,939,27,330.0,912.0,70.97516398361903,25836.0,103.0,2.8753993610223643,1952.8374192553574,10.969116080937168,0.038461538461538464,0.034140969162995596
597,West Virginia,04-23-2020,981,31,380.0,950.0,74.14977195732722,27905.0,108.0,3.1600407747196737,2109.224654912555,11.009174311926603,0.14814814814814814,0.04472843450479233
647,West Virginia,04-24-2020,1010,32,439.0,978.0,76.34176317726859,29811.0,97.0,3.1683168316831685,2253.2913881955983,9.603960396039604,0.03225806451612903,0.029561671763506627
697,West Virginia,04-25-2020,1010,32,439.0,978.0,76.34176317726859,32966.0,97.0,3.1683168316831685,2491.7649157443925,9.603960396039604,0.0,0.0
747,West Virginia,04-26-2020,1055,34,455.0,1021.0,79.74312886338453,39063.0,100.0,3.2227488151658767,2952.6121732610327,9.47867298578199,0.0625,0.04455445544554455
797,West Virginia,04-27-2020,1063,34,455.0,1029.0,80.3478160964718,43039.0,100.0,3.1984948259642523,3253.141728105409,9.407337723424273,0.0,0.007582938388625593
847,West Virginia,04-28-2020,1095,38,481.0,1057.0,82.7665650288209,43055.0,,3.470319634703196,3254.351102571584,,0.11764705882352941,0.030103480714957668
897,West Virginia,04-29-2020,1110,38,504.0,1072.0,83.90035359085955,43071.0,,3.4234234234234235,3255.560477037758,,0.0,0.0136986301369863
947,West Virginia,04-30-2020,1125,41,545.0,539.0,85.03414215289818,44541.0,,3.644444444444445,3366.671756117545,,0.07894736842105263,0.013513513513513514
997,West Virginia,05-01-2020,1152,46,555.0,551.0,87.07496156456774,46844.0,,3.9930555555555554,3540.746093342545,,0.12195121951219512,0.024
1047,West Virginia,05-02-2020,1185,48,572.0,565.0,89.56929640105277,49146.0,,4.050632911392405,3714.744844663409,,0.043478260869565216,0.028645833333333332
1097,West Virginia,05-03-2020,1195,48,611.0,536.0,90.32515544241186,51638.0,,4.01673640167364,3903.104917770095,,0.0,0.008438818565400843
1147,West Virginia,05-04-2020,1224,48,611.0,565.0,92.51714666235323,53239.0,,3.92156862745098,4024.1179502916857,,0.0,0.024267782426778243
1197,West Virginia,05-05-2020,1246,48,630.0,568.0,94.18003655334324,54823.0,,3.8523274478330665,4143.8460224429655,,0.0,0.017973856209150325
1247,West Virginia,05-06-2020,1242,50,716.0,476.0,93.8776929367996,55784.0,,4.025764895330113,4216.484076317575,,0.041666666666666664,-0.0032102728731942215
1297,West Virginia,05-07-2020,1287,51,716.0,520.0,97.27905862291551,57521.0,,3.9627039627039617,4347.776791801651,,0.02,0.036231884057971016
1347,West Virginia,05-08-2020,1323,52,761.0,510.0,100.00015117180828,59436.0,,3.930461073318216,4492.523798221917,,0.0196078431372549,0.027972027972027972
1397,West Virginia,05-09-2020,1323,52,761.0,510.0,100.00015117180828,60997.0,,3.930461073318216,4610.513394578072,,0.0,0.0
