ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
10,Hawaii,04-12-2020,499,9,300.0,490.0,35.24543964,17968.0,44.0,1.803607214,1269.118355,8.817635271,,
60,Hawaii,04-13-2020,504,9,310.0,495.0,35.59860035344325,18844.0,44.0,1.7857142857142858,1330.9921132148504,8.730158730158731,0.0,5.0
110,Hawaii,04-14-2020,511,9,315.0,502.0,36.09302536,19420.0,44.0,1.761252446,1371.676228,8.610567515,0.0,7.0
160,Hawaii,04-15-2020,524,9,333.0,515.0,37.011243224611626,19803.0,45.0,1.717557251908397,1398.7283388873745,8.587786259541986,0.0,13.0
210,Hawaii,04-16-2020,530,9,359.0,521.0,37.435036085962146,20700.0,45.0,1.6981132075471699,1462.0853716592762,8.49056603773585,0.0,6.0
260,Hawaii,04-17-2020,541,9,374.0,532.0,38.21198966510475,21857.0,45.0,1.6635859519408502,1543.8067617563672,8.317929759704251,0.0,11.0
310,Hawaii,04-18-2020,574,9,390.0,565.0,40.542850402532586,22343.0,48.0,1.5679442508710801,1578.1339835257584,8.362369337979095,0.0,33.0
360,Hawaii,04-19-2020,580,10,410.0,570.0,40.9666432638831,23470.0,51.0,1.7241379310344829,1657.736409316097,8.793103448275861,1.0,6.0
410,Hawaii,04-20-2020,584,10,414.0,574.0,41.24917183811678,24175.0,52.0,1.7123287671232876,1707.5320705247827,8.904109589041097,0.0,4.0
460,Hawaii,04-21-2020,586,10,423.0,576.0,41.390436125233606,24696.0,55.0,1.706484641638225,1744.3314173187189,9.38566552901024,0.0,2.0
510,Hawaii,04-22-2020,592,12,437.0,580.0,41.81422898658413,25342.0,56.0,2.0270270270270268,1789.959782057458,9.459459459459461,2.0,6.0
560,Hawaii,04-23-2020,596,12,444.0,584.0,42.096757560817814,26128.0,63.0,2.0134228187919465,1845.476646894376,10.57046979865772,0.0,4.0
610,Hawaii,04-24-2020,601,13,463.0,588.0,42.4499182786099,28040.0,67.0,2.1630615640599,1980.5253053780727,11.148086522462563,1.0,5.0
660,Hawaii,04-25-2020,605,13,463.0,592.0,42.73244685284358,28040.0,67.0,2.1487603305785123,1980.5253053780727,11.074380165289256,0.0,4.0
710,Hawaii,04-26-2020,606,14,482.0,592.0,42.803078996402,28483.0,68.0,2.31023102310231,2011.8153449744525,11.221122112211221,1.0,1.0
760,Hawaii,04-27-2020,607,16,488.0,591.0,42.87371113996042,29010.0,68.0,2.6359143327841843,2049.0384846297393,11.202635914332783,2.0,1.0
810,Hawaii,04-28-2020,609,16,493.0,593.0,43.014975427077246,29183.0,68.0,2.6272577996715927,2061.2578454653462,11.16584564860427,0.0,2.0
860,Hawaii,04-29-2020,613,16,505.0,597.0,43.297504001310934,29618.0,69.0,2.6101141924959217,2091.982827913258,11.256117455138662,0.0,4.0
910,Hawaii,04-30-2020,618,16,516.0,86.0,43.65066471910304,30640.0,69.0,2.588996763754045,2164.1688786299624,11.16504854368932,0.0,5.0
960,Hawaii,05-01-2020,619,16,526.0,77.0,43.721296862661454,31094.0,70.0,2.5848142164781907,2196.2358718054847,11.308562197092085,0.0,1.0
1010,Hawaii,05-02-2020,620,16,532.0,72.0,43.79192900621987,31985.0,72.0,2.5806451612903225,2259.1691117160362,11.612903225806456,0.0,1.0
1060,Hawaii,05-03-2020,620,17,541.0,62.0,43.79192900621987,32950.0,72.0,2.7419354838709675,2327.3291302499106,11.612903225806456,1.0,0.0
1110,Hawaii,05-04-2020,621,17,544.0,60.0,43.86256114977829,33866.0,73.0,2.7375201288244773,2392.0281737494224,11.75523349436393,0.0,1.0
1160,Hawaii,05-05-2020,625,17,548.0,60.0,44.14508972401197,33999.0,73.0,2.72,2401.422248842692,11.68,0.0,4.0
1210,Hawaii,05-06-2020,626,17,551.0,58.0,44.21572186757038,35199.0,73.0,2.7156549520766773,2486.1808211127955,11.661341853035145,0.0,1.0
1260,Hawaii,05-07-2020,629,17,558.0,54.0,44.42761829824564,35541.0,74.0,2.7027027027027017,2510.337014209775,11.764705882352946,0.0,3.0
1310,Hawaii,05-08-2020,629,17,565.0,47.0,44.42761829824564,36618.0,74.0,2.7027027027027017,2586.407832822192,11.764705882352946,0.0,0.0
1360,Hawaii,05-09-2020,631,17,566.0,48.0,44.56888258536247,36262.0,81.0,2.6941362916006337,2561.262789715395,12.83676703645008,0.0,2.0
1410,Hawaii,05-10-2020,632,17,551.0,64.0,44.6395147289209,37270.0,81.0,2.6898734177215187,2632.459990422281,12.816455696202533,0.0,1.0
1460,Hawaii,05-11-2020,634,17,561.0,56.0,44.780779016037734,37683.0,81.0,2.6813880126182967,2661.6310657119084,12.77602523659306,0.0,2.0
1510,Hawaii,05-12-2020,635,17,561.0,57.0,44.851411159596154,37939.0,81.0,2.677165354330709,2679.712894462864,12.755905511811026,0.0,1.0
1560,Hawaii,05-13-2020,638,17,563.0,58.0,45.06330759027141,38365.0,81.0,2.664576802507837,2709.8021876187504,12.695924764890282,0.0,3.0
1610,Hawaii,05-14-2020,637,17,563.0,57.0,44.9899425936808,38881.0,81.0,2.668759811616954,2746.0815666952944,12.71585557299843,0.0,-1.0
1660,Hawaii,05-15-2020,638,17,564.0,57.0,45.06057044704606,38776.0,81.0,2.664576802507837,2738.6656420919408,12.695924764890282,0.0,1.0
1710,Hawaii,05-16-2020,639,17,565.0,57.0,45.13119830041133,40883.0,81.0,2.660406885758998,2887.478529132577,12.676056338028172,0.0,1.0
1760,Hawaii,05-17-2020,640,17,572.0,51.0,45.201826153776615,41674.0,82.0,2.65625,2943.345161144511,12.8125,0.0,1.0
1810,Hawaii,05-18-2020,640,17,573.0,50.0,45.201826153776615,42045.0,82.0,2.65625,2969.548094743028,12.8125,0.0,0.0
1860,Hawaii,05-19-2020,641,17,574.0,50.0,45.272454007141896,45023.0,82.0,2.65210608424337,3179.87784206482,12.79251170046802,0.0,1.0
1910,Hawaii,05-20-2020,643,17,578.0,48.0,45.41370971387244,46304.0,82.0,2.6438569206842923,3270.3521222257373,12.752721617418349,0.0,2.0
1960,Hawaii,05-21-2020,647,17,578.0,52.0,45.69622112733354,47149.0,82.0,2.627511591962905,3330.032658319396,12.67387944358578,0.0,4.0
2010,Hawaii,05-22-2020,642,17,579.0,46.0,45.343081860507155,47985.0,83.0,2.64797507788162,3389.0775437327666,12.928348909657323,0.0,-5.0
2060,Hawaii,05-23-2020,643,17,585.0,41.0,45.41370971387244,48821.0,84.0,2.6438569206842923,3448.1224291461376,13.063763608087092,0.0,1.0
