ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,death_diff,confirmed_diff
37,Pennsylvania,04-12-2020,22938,557,,22381.0,182.2284446,124890.0,2097.0,2.428284942,992.175013,9.142035051,,
87,Pennsylvania,04-13-2020,24292,589,,23703.0,192.985150264584,129792.0,2243.0,2.4246665568911574,1031.1184185386498,9.233492507821506,0.05745062836624776,0.05902868602319296
137,Pennsylvania,04-14-2020,25465,691,,24774.0,202.3039211,133631.0,2317.0,2.713528372,1061.616936,9.098763007999999,0.1731748726655348,0.0482875020582908
187,Pennsylvania,04-15-2020,26753,779,,25974.0,212.53629693019985,137584.0,2395.0,2.9118229731245093,1093.0211145234036,8.952267035472659,0.12735166425470332,0.0505792263891616
237,Pennsylvania,04-16-2020,28258,841,,27417.0,224.49260563875407,141470.0,2512.0,2.976148347370656,1123.8930186040957,8.889518012598204,0.07958921694480103,0.05625537322917056
287,Pennsylvania,04-17-2020,29888,921,,28967.0,237.44196324336758,147373.0,2603.0,3.081504282655246,1170.7887596716012,8.709180942184155,0.09512485136741974,0.05768278009767146
337,Pennsylvania,04-18-2020,31652,1042,,30610.0,251.45586926455672,153965.0,2613.0,3.292051055225578,1223.1581862541855,8.255402502211549,0.13137893593919653,0.0590203426124197
387,Pennsylvania,04-19-2020,32902,1276,,31626.0,261.38635822514993,158854.0,2634.0,3.8781836970396935,1261.9983146768575,8.005592365205763,0.22456813819577734,0.039491975230633136
437,Pennsylvania,04-20-2020,33914,1348,,32566.0,269.4260820876462,162952.0,2701.0,3.974759686265259,1294.5544296852665,7.964262546440997,0.05642633228840126,0.03075800863169412
487,Pennsylvania,04-21-2020,35249,1614,,33635.0,280.0318442975597,166851.0,2743.0,4.5788533008028605,1325.5296108511486,7.781781043433857,0.19732937685459942,0.039364274340980124
537,Pennsylvania,04-22-2020,36082,1673,,34409.0,286.649522140899,171317.0,2764.0,4.636660938972341,1361.009261809556,7.660329250041572,0.036555142503097895,0.023631876081590966
587,Pennsylvania,04-23-2020,38379,1724,,36655.0,304.89778865488506,178708.0,2750.0,4.4920399176633055,1419.7262569357517,7.165376898824878,0.030484160191273164,0.06366055096724128
637,Pennsylvania,04-24-2020,40208,1747,,38461.0,319.4280801020251,186143.0,2746.0,4.344906486271388,1478.7928052733594,6.829486669319539,0.01334106728538283,0.047656270356184374
687,Pennsylvania,04-25-2020,41153,1793,,39360.0,326.9355297562335,192935.0,2748.0,4.356912011274998,1532.751110089639,6.677520472383544,0.02633085289066972,0.023502785515320333
737,Pennsylvania,04-26-2020,42616,1816,,40800.0,338.55817403571183,198593.0,2736.0,4.261310305988361,1577.700475320868,6.420123897127839,0.012827663134411601,0.03555026365028066
787,Pennsylvania,04-27-2020,43558,1886,,41672.0,346.0417905164148,203422.0,2800.0,4.329859038523348,1616.0639402734314,6.42821066164654,0.03854625550660793,0.02210437394405857
837,Pennsylvania,04-28-2020,45137,2046,,43091.0,358.58598417143617,209088.0,,4.532866606110288,1661.0768606340084,,0.08483563096500531,0.036250516552642456
887,Pennsylvania,04-29-2020,46327,2373,,43954.0,368.03980966192086,214883.0,,5.122282901979407,1707.1146074553185,,0.1598240469208211,0.026364180162616036
937,Pennsylvania,04-30-2020,47971,2475,0.0,45496.0,381.10038874289313,221365.0,,5.15936711763357,1758.6101510093704,,0.04298356510745891,0.03548686511105835
987,Pennsylvania,05-01-2020,49579,2635,0.0,46944.0,393.87496974180016,227448.0,,5.314750196655842,1806.9358824872013,,0.06464646464646465,0.0335202518188072
1037,Pennsylvania,05-02-2020,50494,2695,0.0,47799.0,401.14408766095437,235376.0,,5.3372677941933695,1869.919015670868,,0.022770398481973434,0.01845539442102503
1087,Pennsylvania,05-03-2020,51225,2720,0.0,48505.0,406.9514376051093,240641.0,,5.309907271839922,1911.7462351728861,,0.00927643784786642,0.014476967560502239
1137,Pennsylvania,05-04-2020,52816,2838,0.0,49978.0,419.5909639541523,245590.0,,5.373371705543773,1951.0630270656668,,0.04338235294117647,0.031059053196681306
1187,Pennsylvania,05-05-2020,53864,3179,,50685.0,427.9166858987136,250882.0,,5.9019010842120885,1993.1047451292345,,0.12015503875968993,0.019842471978188427
1237,Pennsylvania,05-06-2020,54800,3345,,51455.0,435.35263603240577,256340.0,,6.1040145985401475,2036.4652321267688,,0.05221767851525637,0.01737709787613248
1287,Pennsylvania,05-07-2020,55956,3589,,52367.0,444.5363522231624,262788.0,,6.413968117806848,2087.6906663810923,,0.07294469357249626,0.021094890510948906
1337,Pennsylvania,05-08-2020,57371,3715,,53656.0,455.7776657265539,270559.0,,6.475396977567064,2149.4265301513087,,0.03510727222067428,0.025287726070483952
